栏目,发布时间,标题,来源媒体,摘要,URL
证券要闻,2025/8/26 12:25,多股20%涨停！这一赛道集体大爆发！板块指数创10年新高,证券时报,【多股20%涨停！这一赛道集体大爆发！板块指数创10年新高】国产软件概念股早间大幅走强，板块指数一度快速拉升创10年新高。开普云连续第2日20%一字涨停，正元智慧、君逸数码亦20cm封板，航天宏图、中电鑫龙、能科科技、天融信等逾10股也强势涨停或涨超10%。,"http://finance.eastmoney.com/news/1345,202508263494714228.html"
证券要闻,2025/8/26 17:24,标普全球：法国5年期信用违约掉期利差升至3个月高点37个基点,财联社,标普全球表示，法国5年期信用违约掉期利差升至3个月高点37个基点。,"http://finance.eastmoney.com/news/1353,202508263494985979.html"
证券要闻,2025/8/26 17:23,上交所、中证指数有限公司修订上证基准做市公司债指数的编制方案,第一财经,【上交所、中证指数有限公司修订上证基准做市公司债指数的编制方案】上海证券交易所和中证指数有限公司决定修订上证基准做市公司债指数的编制方案。此次修订内容具体如下：增加发行人权重上限条件：单一发行人所发行的证券样本权重合计不超过10%。,"http://finance.eastmoney.com/news/1353,202508263494985354.html"
证券要闻,2025/8/26 17:19,国务院：支持人工智能芯片攻坚创新与使能软件生态培育，加快超大规模智算集群技术突破和工程落地,每日经济新闻,每经AI快讯，8月26日，国务院印发《关于深入实施“人工智能+”行动的意见》。意见提出，强化智能算力统筹。支持人工智能芯片攻坚创新与使能软件生态培育，加快超大规模智算集群技术突破和工程落地。优化国家智算资源布局，完善全国一体化算力网，充分发挥“东数西算”国家枢纽作用，加大数、算、电、网等资源协同。,"http://finance.eastmoney.com/news/1353,202508263494987276.html"
证券要闻,2025/8/26 17:18,一个销售一天能卖10套 数千万的杭州商业大平层遭抢购,界面新闻,8月25日，一则“杭州大佬3小时花了8000万买大平层”的消息在杭州各大购房群流传，该大平层为滨江集团揽奥望座星河800项目。界面新闻8月26日从星河800项目销售经理许燕处证实，上周末，该项目确实有一套总价约8300万元的顶楼户型被买下，目前客户已支付50万元认筹金。据界面新闻了解，除了这套8300万元的户型，上个周末，星河800项目10层以下房源已经销售一空。,"http://finance.eastmoney.com/news/1353,202508263494988248.html"
证券要闻,2025/8/26 17:18,国务院：推动智能终端“万物智联”，大力发展智能网联汽车等新一代智能终端,界面新闻,国务院印发《关于深入实施“人工智能+”行动的意见》。意见提出，推动智能终端“万物智联”，培育智能产品生态，大力发展智能网联汽车、人工智能手机和电脑、智能机器人、智能家居、智能穿戴等新一代智能终端，打造一体化全场景覆盖的智能交互环境。加快人工智能与元宇宙、低空飞行、增材制造、脑机接口等技术融合和产品创新，探索智能产品新形态。,"http://finance.eastmoney.com/news/1353,202508263494987414.html"
证券要闻,2025/8/26 17:18,国务院：强化智能算力统筹，支持人工智能芯片攻坚创新与使能软件生态培育,界面新闻,国务院印发《关于深入实施“人工智能+”行动的意见》。意见提出，强化智能算力统筹，支持人工智能芯片攻坚创新与使能软件生态培育，加快超大规模智算集群技术突破和工程落地。优化国家智算资源布局，完善全国一体化算力网，充分发挥“东数西算”国家枢纽作用，加大数、算、电、网等资源协同。,"http://finance.eastmoney.com/news/1353,202508263494985669.html"
证券要闻,2025/8/26 17:17,国务院：强化智能算力统筹 支持人工智能芯片攻坚创新与使能软件生态培育,南方财经网,南方财经8月26日电，国务院发布关于深入实施“人工智能+”行动的意见。意见提出，强化智能算力统筹，支持人工智能芯片攻坚创新与使能软件生态培育，加快超大规模智算集群技术突破和工程落地。优化国家智算资源布局，完善全国一体化算力网，充分发挥“东数西算”国家枢纽作用，加大数、算、电、网等资源协同。,"http://finance.eastmoney.com/news/1353,202508263494986491.html"
证券要闻,2025/8/26 17:16,天风证券：全面看好端侧AI应用,上海证券报·中国证券网,上证报中国证券网讯（记者江小轩）近日，天风证券发布研报称，全面看好端侧AI应用，主要集中在以下两个方面：第一，在AI端侧方面，多家AI行业巨头动作频频。,"http://finance.eastmoney.com/news/1353,202508263494983393.html"
证券要闻,2025/8/26 17:15,国务院：推动智能终端“万物智联” 大力发展智能网联汽车、人工智能手机和电脑、智能机器人、智能家居、智能穿戴等新一代智能终端,每日经济新闻,每经AI快讯，8月26日，国务院发布关于深入实施“人工智能+”行动的意见。意见提出，培育产品消费新业态。推动智能终端“万物智联”，培育智能产品生态，大力发展智能网联汽车、人工智能手机和电脑、智能机器人、智能家居、智能穿戴等新一代智能终端，打造一体化全场景覆盖的智能交互环境。加快人工智能与元宇宙、低空飞行、增材制造、脑机接口等技术融合和产品创新，探索智能产品新形态。,"http://finance.eastmoney.com/news/1353,202508263494983265.html"
证券要闻,2025/8/26 17:11,中上协召开董事会秘书专业委员会年中工作会议,人民财讯,人民财讯8月26日电，中国上市公司协会董事会秘书专业委员会年中工作会议8月22日在北京以现场+线上方式召开。董秘委全体委员和1500余家上市公司董事会秘书、财务负责人和证券事务代表5400余人通过直播形式参会。会议邀请了中国证监会上市公司监管司一处处长付艳超、行政处罚委员会办公室副主任董文媛就最新监管政策和上市公司违法违规案例进行了解读。,"http://finance.eastmoney.com/news/1353,202508263495324089.html"
证券要闻,2025/8/26 17:11,恒生指数下跌1.18% 恒生科技指数下跌0.74%,新华财经,新华财经香港8月26日电（记者林迎楠）26日，港股主要指数震荡下行，截至收盘，恒生指数下跌1.18%至25524.92点，恒生科技指数下跌0.74%至5782.24点，国企指数下跌1.07%至9148.66点。当日恒指低开115点，开盘波动反弹，午市后持续下跌，恒生指数收盘跌304.99点，主板成交超3178亿港元。当日，港股通（南向）净流入超过165亿港元。,"http://finance.eastmoney.com/news/1354,202508263494978524.html"
证券要闻,2025/8/26 17:11,主题乐园“燃”动暑期文旅 现存游乐园相关企业超40.7万家,中国网财经,这个暑假，主题乐园人气爆棚。北京环球度假区哈利·波特魔法世界、上海迪士尼疯狂动物城等，凭借沉浸式体验，让游客仿佛走进故事，满足深度体验需求，吸引众多游客，预订热度环比上月同期增长超51%。主题乐园的火爆还辐射周边。周边酒店和民宿预订量同比增长近四成，零售、餐饮、交通等领域也被带动。同时，它不仅是亲子天地，也是年轻人打卡地，家庭亲子游、年轻群体休闲游崛起提供了广阔客源。,"http://finance.eastmoney.com/news/1353,202508263494978653.html"
证券要闻,2025/8/26 17:11,中上协召开董事会秘书专业委员会年中工作会议,第一财经,【中上协召开董事会秘书专业委员会年中工作会议】中国上市公司协会（简称中上协）董事会秘书专业委员会（以下简称董秘委）年中工作会议8月22日在北京以现场+线上方式召开。会议由董秘委主任委员、邮储银行副行长、董事会秘书杜春野主持，协会党委委员、副会长余辉出席会议并致辞。,"http://finance.eastmoney.com/news/1353,202508263494968824.html"
证券要闻,2025/8/26 17:09,【每日收评】三大指数缩量调整涨跌不一，消费电子概念股逆势走强，千亿巨头罕见涨停,财联社,财联社8月26日讯，市场全天震荡调整，三大指数涨跌不一。沪深两市全天成交额2.68万亿，较上个交易日缩量4621亿。盘面上，市场热点较为杂乱，个股涨多跌少，全市场超2800只个股上涨。从板块来看，消费电子概念股逆势走强，歌尔股份等多股涨停。华为昇腾概念股一度冲高，拓维信息涨停。游戏股表现活跃，三七互娱涨停。下跌方面，稀土永磁概念股展开调整，北方稀土等多股跌超5%。,"http://finance.eastmoney.com/news/1354,202508263494979783.html"
证券要闻,2025/8/26 17:09,近日海外机构调研股名单,证券时报网,根据调研日期截止日统计，近10日（8月13日至8月26日），海外机构对136家上市公司进行调研，其中，华明装备最受关注，被28家海外机构密集调研。证券时报·数据宝统计显示，近10日共有348家公司获机构调研，调研机构类型显示，证券公司调研达335家，占比最多；基金公司调研292家，位列其后；海外机构共对136家上市公司进行走访。,"http://finance.eastmoney.com/news/1353,202508263494970633.html"
证券要闻,2025/8/26 17:08,104只A股筹码大换手（8月26日）,证券时报网,证券时报·数据宝统计，截至（8月26日）收盘，沪指报3868.38点，跌15.18点，跌幅为0.39%；深成指报12473.17点，涨32.11点，涨幅为0.26%；创业板指报2742.13点，跌20.86点，跌幅为0.76%。个股方面，今日104只A股换手率超过20%，其中，川润股份、能之光等2只个股换手率达五成以上，半数筹码易主。,"http://finance.eastmoney.com/news/1354,202508263494971048.html"
证券要闻,2025/8/26 17:05,A股连续第10个交易日成交破2万亿,21世纪经济报道,8月26日午后，沪深两市成交额连续第10个交易日突破2万亿元。截至收盘，沪深两市全天成交额2.71万亿元，较上个交易日缩量4621亿元。市场全天震荡调整，三大指数涨跌不一，上证指数跌0.39%，深证成指涨0.26%，创业板指跌0.75%，北证50跌0.76%。A股单日成交额超2万亿元的天数并不多见，其中2024年占18天，2025年截至目前已占12天。,"http://finance.eastmoney.com/news/1353,202508263495422837.html"
证券要闻,2025/8/26 17:04,近两年IPO撤单频现 中介机构屡收罚单,深圳商报·读创,在“827”新政实施后的两年里，监管层对于IPO的审核趋严。根据WIND统计，最近两年IPO终止（包括撤回、终止注册等）的公司高达581家，超出过去几年平均水平。在撤单潮的背景下，A股IPO排队家数也出现明显下降。2024年A股IPO市场迎来至暗时刻，全年仅有100家企业上市，数量创10年新低。当年IPO终止企业高达426家，远超2023年水平。,"http://finance.eastmoney.com/news/1353,202508263495437885.html"
证券要闻,2025/8/26 17:04,A股这一板块，全线走强！,证券时报网,今日，A股小幅震荡整理，上证指数、创业板指在红绿之间转换多次，深证成指、中证500等指数略强，纷纷创出阶段性新高，成交萎缩至2.71万亿元。盘面上，养殖业、化工、产业互联网、业绩预增等板块涨幅居前，医疗服务、稀有金属、多元金融、军贸概念等板块跌幅居前。,"http://finance.eastmoney.com/news/1353,202508263494969067.html"
证券要闻,2025/8/26 17:03,中企打造直达铁路班列打通西北欧至德国南部绿色通道,新华社,当地时间25日中午，一列装载汽车配件和机械配件等货物的直达铁路班列从比利时布鲁日的泽布吕赫港驶往德国城市曼海姆，标志着这条联动西北欧门户与德国南部工业腹地的绿色物流走廊正式打通。“泽布吕赫－曼海姆”直达铁路班列是中远海运集团发挥“航运+港口+物流”一体化优势打造的全程供应链产品的重要组成部分。该铁路直达班列每周双向定班运行两至三趟。,"http://finance.eastmoney.com/news/1353,202508263494964289.html"
证券要闻,2025/8/26 15:18,十四届全国人大常委会第十七次会议9月8日至12日在京举行,新华社,【十四届全国人大常委会第十七次会议9月8日至12日在京举行】十四届全国人大常委会第四十八次委员长会议26日上午在北京人民大会堂举行。赵乐际委员长主持会议。会议决定，十四届全国人大常委会第十七次会议9月8日至12日在北京举行。,"http://finance.eastmoney.com/news/1345,202508263494842412.html"
证券要闻,2025/8/26 17:02,30家北交所公司获机构调研,证券时报网,根据调研日期截止日统计，近一个月（7月27日至8月26日），共有30家北交所公司获机构调研，其中，纳科诺尔最受关注，参与调研的机构有114家。证券时报·数据宝统计显示，近一个月共有30家北交所公司获机构调研，调研机构类型显示，券商共对29家公司进行调研；基金调研22家；阳光私募调研20家；保险调研15家；海外机构调研5家。,"http://finance.eastmoney.com/news/1353,202508263494959642.html"
证券要闻,2025/8/26 17:01,A股成交额连续10个交易日破2万亿元！沪指盘中再创新高 超2800只股票上涨,每日经济新闻,8月26日，市场全天震荡调整，三大指数涨跌不一。A股全天成交额达2.71万亿元，第10个交易日成交破2万亿元，较上个交易日缩量4671亿元。盘面上，市场热点较为杂乱，个股涨多跌少，全市场超2800只个股上涨。截至收盘，沪指跌0.39%，深成指涨0.26%，创业板指跌0.76%。从板块来看，消费电子概念股逆势走强，歌尔股份等多股涨停。华为昇腾概念股一度冲高，拓维信息涨停。,"http://finance.eastmoney.com/news/1353,202508263495425379.html"
证券要闻,2025/8/26 16:55,第114届全国糖酒会官宣定档2026年3月26日—28日,人民财讯,人民财讯8月26日电，8月26日，全国糖酒商品交易会官微宣布，第114届全国糖酒会将于2026年3月26—28日在成都举办。第114届全国糖酒会继续使用西博城和世纪城全馆，为产业链上下游及消费端搭建对接平台。,"http://finance.eastmoney.com/news/1353,202508263494946149.html"
证券要闻,2025/8/26 16:53,断崖式领涨 ！“潜水”的中小板崭露头角,上游新闻,周二（8月26日）沪深股市展开主动休整。截至终盘，上证指数收报3868.38点，下跌15.18点，跌幅0.39%；深证成指收报12473.17点，上涨32.10点，涨幅0.26%；中小综指上涨0.99%；创业板综指下跌0.48%；科创综指下跌0.99%。A股成交金额合计27098.31亿元，比周一缩小15%。走势方面，当天科创板市场弱于大市，大部分时间处于“潜水”状态。,"http://finance.eastmoney.com/news/1353,202508263495468841.html"
证券要闻,2025/8/26 10:43,新一代中国操作系统银河麒麟V11正式发布,国是直通车,【新一代中国操作系统银河麒麟V11正式发布】8月26日，全新一代中国操作系统——银河麒麟操作系统V11在2025中国操作系统产业大会正式发布。这款系统使用了全新磐石架构，操作体验、安全性和生态丰富度大幅提升。,"http://finance.eastmoney.com/news/1350,202508263494651937.html"
证券要闻,2025/8/26 16:53,机构：预估人形机器人芯片市场规模有望于2028年突破4800万美元,界面新闻,8月26日，根据TrendForce集邦咨询最新研究，英伟达近日推出的JetsonThor被视为机器人的物理智慧核心，以BlackwellGPU、128GB记忆体堆叠出2070FP4TFLOPSAI算力，是前代JetsonOrin的7.5倍。,"http://finance.eastmoney.com/news/1353,202508263494944633.html"
证券要闻,2025/8/26 16:52,陈智敏：畅通数据流通交易渠道 加快构建数据要素统一大市场,人民网,人民网深圳8月26日电（记者栗翘楚）数字经济时代，数据是国家基础性战略资源和关键生产要素，对发展新质生产力的战略价值日益凸显。加快培育全国一体化数据市场，推动数据要素市场化价值化，实现数据供得出、流得动、用得好，方能激活数据生产力，构筑数字经济发展新优势。中国友谊促进会理事长、公安部原副部长、国家网信办原副主任陈智敏在2025人民数据大会发表主旨演讲。,"http://finance.eastmoney.com/news/1353,202508263494952132.html"
证券要闻,2025/8/26 16:51,美国金瑞基金首席投资官：A股在全球仍被“低配” 潜力巨大,21世纪经济报道,8月25日，A股市场迎来历史性时刻，成交金额再次突破3万亿元，上一次是去年10月8日。市场全天震荡走高，沪指逼近3900点，截至收盘，沪指涨1.51%，深成指涨2.26%，创业板指涨3%。近期，A股市场整体延续了活跃态势，融资余额持续增长，市场成交显著放量，多项指数屡创新高，显示出投资者风险偏好的明显提升。,"http://finance.eastmoney.com/news/1353,202508263495426154.html"
证券要闻,2025/8/26 16:49,港股收盘 | 三大指数集体承压 黄金股逆市上扬,财联社,港股三大指数集体走低。截至收盘，恒生指数跌1.18%，报25524.92点；科技指数跌0.74%，报5782.24点；国企指数跌1.07%，报9148.66点。今日市场从市场表现来看，消费电子、黄金、有色金属及光伏股表现强势；而医药与券商股则普遍承压。,"http://finance.eastmoney.com/news/1353,202508263494939718.html"
证券要闻,2025/8/26 16:49,美股最新评级 | 交银国际维持哔哩哔哩买入评级,财联社,以下为各家券商对美股的最新评级和目标价：中信建投维持ApplovinCorp-A（APP.O）买入评级：公司25Q2调整后EPS2.39美元，超预期；营收12.6亿美元，同比+77%。核心广告业务持续增长，电商广告渗透率低、空间广阔，Q4或迎来增长拐点。AXONAI算法已覆盖多个高增长垂直领域，AI能力持续赋能。预计25-26年营收分别增长18%、31%。,"http://finance.eastmoney.com/news/1354,202508263494941451.html"
证券要闻,2025/8/26 16:46,美联储9月降息确定性增强 海外流动性如何传导至港股市场？,界面新闻,近期，美国的通胀和政策预期出现变化，市场普遍认为美联储将在9月启动降息。这意味着海外的资金成本正在下降，全球流动性环境趋于宽松。这会对港股产生什么影响，海外流动性又将如何传导至港股市场？本文将对此分析：1、海外流动性：市场充分定价美联储9月降息从机制上看，美联储的宽松转向往往通过两个途径传导：一是降低贴现率，从而抬高未来现金流的估值；二是压缩风险溢价，带动投资者风险偏好回升。,"http://finance.eastmoney.com/news/1353,202508263495426569.html"
证券要闻,2025/8/26 16:44,【环球财经】特朗普开始对美联储下手,新华社,新华财经北京8月26日电美国总统特朗普25日晚宣布，因美联储理事莉萨·库克涉嫌“房贷欺诈”，他已经将她解职。美联社评论说，这一举动出人意料，是特朗普试图控制美联储的最新举措之一，并可能触发一场法律战。特朗普：解职“有足够理由”特朗普在社交媒体“真实社交”上公布了一封他写给库克的信函。信函写道，他有足够理由将库克解职，因为她被指控犯有房屋抵押贷款欺诈罪。,"http://finance.eastmoney.com/news/1353,202508263494951488.html"
证券要闻,2025/8/26 16:08,法国“黑天鹅”突袭！欧洲股市全线走低,券商中国,欧洲开盘跌懵了！8月26日，欧洲股市开盘全线走低，德国DAX指数跌0.54%，英国富时100指数跌0.5%，法国CAC40指数跌1.31%。随后跌幅扩大。法国CAC40期指跌幅一度扩大至2%以上。个股方面，法国巴黎银行股价下跌4.7%，在CAC40指数中跌幅最大。德国商业银行股价下跌6.3%。那么，究竟发生了什么？分析人士认为，法国政局可能是影响市场的主要原因。,"http://finance.eastmoney.com/news/1345,202508263494885420.html"
证券要闻,2025/8/26 16:43,683只股短线走稳 站上五日均线,证券时报网,证券时报·数据宝统计，截至今日下午收盘，上证综指3868.38点，收于五日均线之上，涨跌幅-0.39%，A股总成交额为27098.31亿元。到目前为止，今日有683只A股价格突破了五日均线，其中乖离率较大的个股有嘉亨家化、久祺股份、天润科技等，乖离率分别为14.97%、14.66%、10.73%；保隆科技、佰仁医疗、南华仪器等个股乖离率较小，刚刚站上五日均线。,"http://finance.eastmoney.com/news/1353,202508263494936462.html"
证券要闻,2025/8/26 16:43,40只股中线走稳 站上半年线,证券时报网,证券时报·数据宝统计，截至今日下午收盘，上证综指3868.38点，收于半年线之上，涨跌幅-0.39%，A股总成交额为27098.31亿元。到目前为止，今日有40只A股价格突破了半年线，其中乖离率较大的个股有豪声电子、曙光股份、东百集团等，乖离率分别为9.90%、3.72%、3.19%；唐山港、汉邦高科、壶化股份等个股乖离率较小，刚刚站上半年线。,"http://finance.eastmoney.com/news/1353,202508263494936542.html"
证券要闻,2025/8/26 16:41,收评：沪指震荡跌0.39% 深证成指涨0.26% 游戏等板块走强 稀土永磁概念回调,证券时报网,26日，两市低开震荡，沪指、创业板指等主要指数回调，深证成指小幅上行。截至收盘，沪指跌0.39%报3868.38点，深证成指涨0.26%报12473.17点，创业板指跌0.75%报2742.13点，科创50指数跌1.31%报1270.87点，沪深北三市合计成交27113亿元。,"http://finance.eastmoney.com/news/1353,202508263494948779.html"
证券要闻,2025/8/26 16:41,恒生指数跌幅扩大至1%,人民财讯,恒生指数跌幅扩大至1%,"http://finance.eastmoney.com/news/1353,202508263494951284.html"
证券要闻,2025/8/26 15:00,A股三大指数涨跌不一 两市成交额缩量超4600亿,东方财富Choice数据,【收盘播报】沪指跌0.39%，深证成指涨0.26%，创业板指跌0.75%。成交额接近2.7万亿，游戏、化纤、化肥、美容护理、农牧饲渔板块涨幅居前，小金属、医疗服务、生物制品、船舶制造、保险跌幅居前。,"http://finance.eastmoney.com/news/1345,202508263494830455.html"
证券要闻,2025/8/26 12:38,002537直线涨停 重磅大会将举办 融资资金大手笔加仓21只概念股,数据宝,【002537直线涨停 重磅大会将举办 融资资金大手笔加仓21只概念股】8月28日至30日，2025中国国际大数据产业博览会将在贵州省贵阳市举办，华为等375家企业确认参展。8月以来融资净买入超1亿元的大数据概念股有21只，其中英维克、浪潮信息、同花顺、华胜天成、科华数据融资净买入额排在前五位。,"http://finance.eastmoney.com/news/1345,202508263494718433.html"
证券要闻,2025/8/26 16:34,主力今日尾盘买卖这些个股,每日经济新闻,每经AI快讯，8月26日，主力尾盘大幅净流入武汉凡谷、歌尔股份、掌趣科技，金额为3.32亿元、2.03亿元、1.82亿元；同时，胜宏科技、东方财富、新易盛尾盘主力净流出规模居前。,"http://finance.eastmoney.com/news/1353,202508263494917184.html"
证券要闻,2025/8/26 12:33,见证历史！全市场ETF规模突破50000亿元大关,中国基金报,【见证历史！全市场ETF规模突破50000亿元大关】截至8月25日，全市场ETF总规模达到5.07万亿元，这也是继今年4月份突破4万亿元大关之后，时隔4个月时间再次突破万亿级整数关口。业内人士表示，此次跨过万亿元整数关口，是历史上用时最短的一次，这也从侧面反映出被动投资大时代正加速到来。,"http://finance.eastmoney.com/news/1345,202508263494716244.html"
证券要闻,2025/8/26 16:21,尾盘突发跳水！市场韧性较强 科技板块仍然是本次牛市主线,每日经济新闻,8月26日，A股三大指数涨跌不一。沪指跌0.39%，收报3868.38点；深证成指涨0.26%，收报12473.17点；创业板指跌0.75%，收报2742.13点。沪深两市成交额达到26790亿元，较昨日大幅缩量4621亿元。个股方面，上涨股票数量超过2800只。,"http://finance.eastmoney.com/news/1345,202508263494900496.html"
证券要闻,2025/8/26 16:24,涨停潮！消费电子，午后爆发！,证券时报,消费电子午后爆发。在8月25日放量大涨过后，A股今日（8月26日）整体保持震荡走势。AI芯片、创新药、稀土永磁等前期热门板块有所调整，低位滞涨方向获资金流入；游戏、化工、农林牧渔、消费电子等板块表现较为活跃。在此背景下，今日两市股指在低开后展开温和震荡调整走势，深证成指表现相对强势。,"http://finance.eastmoney.com/news/1353,202508263494912676.html"
证券要闻,2025/8/26 12:58,每5辆电动汽车就有2个充电桩 每3度电中就有1度绿电 重磅发布会信息量巨大！,央视财经,国务院新闻办公室今天上午举行“高质量完成‘十四五’规划”系列主题新闻发布会，国家发展改革委党组成员、国家能源局局长王宏志介绍了“十四五”时期能源高质量发展成就，并答记者问。每3度电中就有1度绿电我国构建起全球最大、发展最快的可再生能源体系“十四五”是绿色低碳转型最快的五年。我国构建起全球最大、发展最快的可再生能源体系，可再生能源发电装机占比由40%提升至60%左右。,"http://finance.eastmoney.com/news/1345,202508263494723569.html"
证券要闻,2025/8/26 16:23,今天 消费电子概念表现抢眼,中国证券报·中证金牛座,今天，A股三大股指走势分化，截至收盘，上证指数下跌0.39%，深证成指上涨0.26%，创业板指下跌0.75%。图片来源：同花顺前期持续活跃的英伟达产业链今天回调，新易盛、中际旭创、工业富联、胜宏科技等个股下跌。苹果概念股今天大涨，“三剑客”齐涨，歌尔股份涨停，蓝思科技、立讯精密分别涨超4%、6%。最近市场传出不少关于苹果手机的消息。,"http://finance.eastmoney.com/news/1353,202508263494910869.html"
证券要闻,2025/8/26 16:22,中国机器人：汽车的后浪 | 海斌访谈,第一财经,“激光雷达现在越做越便宜，它在人形机器人里并不算很贵的零部件。”智元机器人通用业务部总裁王闯近期对第一财经表示。中国汽车产业的蓬勃发展，带动激光雷达大规模推广。汽车产业的竞争也把压力传递给供应商，从而使激光雷达越来越有性价比。芯片、动力电池同样如此。中国汽车的电动化、智能化趋势，是人形机器人产业的前浪。,"http://finance.eastmoney.com/news/1353,202508263494900182.html"
证券要闻,2025/8/26 12:49,002261 6分钟涨停 多只业绩向好股上涨 游戏板块大涨,中国证券报,今天上午，AI算力行情分化，寒武纪、胜宏科技、工业富联等龙头股调整，天孚通信大涨，剑桥科技涨停。华为概念表现活跃，龙头股拓维信息（002261）开盘仅6分钟，股价就涨停，上午成交额为49.56亿元。游戏、农林牧渔、化工、美容护理等板块上涨。临近午间收盘，半导体、消费电子、互联网金融板块发力，带动上证指数翻红。,"http://finance.eastmoney.com/news/1345,202508263494720132.html"
证券要闻,2025/8/26 16:14,A股收评：沪指震荡调整跌0.39% 消费电子概念股逆势大涨,21世纪经济报道,市场全天震荡调整，三大指数涨跌不一。截至收盘，沪指跌0.39%，深成指涨0.26%，创业板指跌0.75%。盘面上，市场热点较为杂乱，个股涨多跌少，全市场超2800只个股上涨。从板块来看，消费电子概念股表现活跃，歌尔股份等多股涨停。华为昇腾概念股一度冲高，拓维信息涨停。游戏股表现活跃，三七互娱涨停。下跌方面，稀土永磁概念股展开调整，北方稀土等多股跌超5%。,"http://finance.eastmoney.com/news/1353,202508263494892131.html"
证券要闻,2025/8/26 16:10,年内累计发行64只新股，共募资638.61亿元,证券时报网,1只新股今日发行，三协电机发行1800.00万股，发行价8.83元，募资金额1.59亿元。证券时报·数据宝统计显示，以发行日期为基准，截至8月26日，今年以来共有64家公司首发募资，累计募资金额达638.61亿元，单家公司平均募集资金9.98亿元。,"http://finance.eastmoney.com/news/1353,202508263494885571.html"
证券要闻,2025/8/26 16:10,涨停股复盘：28股封单超亿元,证券时报网,截至收盘，上证指数报收3868.38点，下跌0.39%；深证成指收于12473.17点，上涨0.26%；创业板指下跌0.76%；科创50指数下跌1.31%。不含当日上市新股，今日可交易A股中，上涨个股有2804只，占比51.77%，下跌个股有2470只，平盘个股142只。其中，收盘股价涨停的有92只，跌停股有8只。,"http://finance.eastmoney.com/news/1353,202508263494885271.html"
证券要闻,2025/8/26 16:03,中国创新药收入新突破：收益权提前变现，百济神州揽入8.85亿美元,每日经济新闻,中国创新药收入新突破：收益权提前变现，百济神州揽入8.85亿美元,"http://finance.eastmoney.com/news/1353,202508263494879151.html"
证券要闻,2025/8/26 7:52,重磅政策 中国碳市场建设成就显著 这些概念股有望受益,数据宝,【重磅政策 中国碳市场建设成就显著 这些概念股有望受益】8月25日，中共中央办公厅国务院办公厅发布《关于推进绿色低碳转型加强全国碳市场建设的意见》。梳理了A股市场中部分碳交易概念股，从今年上半年业绩数据来看，按照半年报、业绩快报、预告净利润中值计算，昊华科技、协鑫能科、恒生电子、华银电力、岳阳林纸、晋控电力今年上半年净利润超1亿元，分别为6.2亿元、5.24亿元、2.61亿元、2亿元、1.43亿元、1.35亿元。,"http://finance.eastmoney.com/news/1345,202508263494221086.html"
证券要闻,2025/8/26 8:54,3.18万亿！A股成交额创历史次高 “天量”后会否见“天价”？,澎湃新闻,【3.18万亿！A股成交额创历史次高 “天量”后会否见“天价”？】对于A股大涨中出现“天量”，有券商策略首席对澎湃新闻记者分析称，主要释放了两个市场信号：一是市场情绪仍然热烈。本轮上涨中，A股在突破3674点的前期高点后，又接连站上3700点和3800点，且上涨过程中并没有出现多大的回调。周一（8月25日）成交量达到3万亿元以上，说明当前有很多增量资金入市。,"http://finance.eastmoney.com/news/1345,202508263494277949.html"
证券要闻,2025/8/26 15:57,南向资金净买入超160亿港元,东方财富Choice数据,截至发稿，南向资金净买入超160亿港元。,"http://finance.eastmoney.com/news/1353,202508263494869844.html"
证券要闻,2025/8/26 15:54,收评：沪指震荡调整跌0.39% 消费电子概念股逆势大涨,财联社,财联社8月26日电，市场全天震荡调整，三大指数涨跌不一。沪深两市全天成交额2.68万亿，较上个交易日缩量4621亿。盘面上，市场热点较为杂乱，个股涨多跌少，全市场超2800只个股上涨。从板块来看，消费电子概念股逆势走强，歌尔股份等多股涨停。华为昇腾概念股一度冲高，拓维信息涨停。游戏股表现活跃，三七互娱涨停。下跌方面，稀土永磁概念股展开调整，北方稀土等多股跌超5%。,"http://finance.eastmoney.com/news/1353,202508263494869085.html"
证券要闻,2025/8/26 15:54,氪金养宠千亿红利：宠物食品市场集中度仅24%、消费两极分化,21世纪经济报道,21世纪经济报道记者陶力实习生王野上海报道当养宠成为情感消费和寄托，宠物消费也步入了高速扩容通道，并呈现出地域下沉与消费升级并行的新态势。刚刚落幕的第27届亚洲宠物展览会透露了新的数据，本届展会吸引行业内外超51万观众到场，其中年轻消费者超七成。《宠物行业蓝皮书：2025中国宠物行业发展报告》显示，犬猫作为主流宠物，总量已达1.87亿只。,"http://finance.eastmoney.com/news/1353,202508263494867295.html"
证券要闻,2025/8/26 15:53,收评：主要股指宽幅整理 养殖股领涨 CRO概念领跌,新华财经,新华财经北京8月26日电（罗浩）沪深两市三大股指26日早间普遍低开，各股指早盘期间呈震荡反弹态势，深成指午后冲高回落，沪指和创业板指则在上攻未果后波动下行。至收盘时，沪指小幅下跌，深成指小幅上涨，创业板指显著下跌。各股指当日均呈宽幅整理态势。板块方面，游戏板块盘初表现强势，养殖板块早盘期间持续上行，消费电子板块午后走强。,"http://finance.eastmoney.com/news/1353,202508263494866867.html"
